captured_utc,device,critical_warning,temperature_c,available_spare,available_spare_threshold,percentage_used,data_units_read,data_units_written,host_read_commands,host_write_commands,power_on_hours,unsafe_shutdowns,media_errors,num_err_log_entries,controller_busy_time
2026-09-10T19:02:53+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:02:54+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:02:55+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:02:56+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:02:57+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:02:58+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:02:59+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:03:00+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:03:01+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
2026-09-10T19:03:02+00:00,/dev/nvme0n1,0,50,0,0,0,70,66,228,96,0,0,0,0,0
