captured_utc,device,critical_warning,temperature_c,available_spare,available_spare_threshold,percentage_used,data_units_read,data_units_written,host_read_commands,host_write_commands,power_on_hours,unsafe_shutdowns,media_errors,num_err_log_entries,controller_busy_time
2026-09-10T19:00:00+00:00,/dev/nvme0n1,0,50,100,10,0,70,66,228,96,0,0,0,0,0
2026-09-10T20:00:00+00:00,/dev/nvme0n1,0,51,97,10,2,75,71,238,106,1,0,0,0,0
2026-09-10T21:00:00+00:00,/dev/nvme0n1,0,52,94,10,4,80,76,248,116,2,0,0,0,0
2026-09-10T22:00:00+00:00,/dev/nvme0n1,0,53,91,10,6,85,81,258,126,3,0,0,0,0
2026-09-10T23:00:00+00:00,/dev/nvme0n1,0,54,88,10,8,90,86,268,136,4,0,0,0,0
2026-09-11T00:00:00+00:00,/dev/nvme0n1,0,55,85,10,10,95,91,278,146,5,0,0,0,0
2026-09-11T01:00:00+00:00,/dev/nvme0n1,0,56,82,10,12,100,96,288,156,6,0,1,1,0
2026-09-11T02:00:00+00:00,/dev/nvme0n1,0,57,79,10,14,105,101,298,166,7,0,2,2,0
2026-09-11T03:00:00+00:00,/dev/nvme0n1,0,58,76,10,16,110,106,308,176,8,0,3,3,0
2026-09-11T04:00:00+00:00,/dev/nvme0n1,0,59,73,10,18,115,111,318,186,9,0,4,4,0
2026-09-11T05:00:00+00:00,/dev/nvme0n1,0,60,70,10,20,120,116,328,196,10,0,5,5,0
2026-09-11T06:00:00+00:00,/dev/nvme0n1,0,61,67,10,22,125,121,338,206,11,0,6,6,0
